Name,Size,Time
10pctReads,524288,700866
10pctWrites,524288,737851
WriteOnly,1024,746
ReadOnly,1024,436
EvenReadsWrites,1024,1049
10pctReads,1024,1157
10pctWrites,1024,1002
WriteOnly,2048,1567
ReadOnly,2048,1074
EvenReadsWrites,2048,2041
10pctReads,2048,2198
10pctWrites,2048,2237
WriteOnly,4096,2998
ReadOnly,4096,1780
EvenReadsWrites,4096,4364
10pctReads,4096,4870
10pctWrites,4096,6201
WriteOnly,8192,5824
ReadOnly,8192,5261
EvenReadsWrites,8192,12070
10pctReads,8192,11689
10pctWrites,8192,15169
WriteOnly,16384,15238
ReadOnly,16384,8367
EvenReadsWrites,16384,28713
10pctReads,16384,32474
10pctWrites,16384,26402
WriteOnly,32768,29022
ReadOnly,32768,19929
EvenReadsWrites,32768,53538
10pctReads,32768,58483
10pctWrites,32768,56640
WriteOnly,65536,64757
ReadOnly,65536,40028
EvenReadsWrites,65536,116070
10pctReads,65536,97500
10pctWrites,65536,94392
WriteOnly,131072,132185
ReadOnly,131072,85027
EvenReadsWrites,131072,181904
10pctReads,131072,177432
10pctWrites,131072,182548
WriteOnly,262144,258970
ReadOnly,262144,171382
EvenReadsWrites,262144,364476
10pctReads,262144,358268
10pctWrites,262144,363904
WriteOnly,524288,545708
ReadOnly,524288,352572
EvenReadsWrites,524288,716750
10pctReads,524288,733479
10pctWrites,524288,746964
WriteOnly,1024,715
ReadOnly,1024,396
EvenReadsWrites,1024,942
10pctReads,1024,1034
10pctWrites,1024,1653
WriteOnly,2048,1470
ReadOnly,2048,844
EvenReadsWrites,2048,2597
10pctReads,2048,2909
10pctWrites,2048,2715
WriteOnly,4096,4177
ReadOnly,4096,2000
EvenReadsWrites,4096,6161
10pctReads,4096,4697
10pctWrites,4096,4636
WriteOnly,8192,7162
ReadOnly,8192,4661
EvenReadsWrites,8192,13906
10pctReads,8192,17740
10pctWrites,8192,16090
WriteOnly,16384,14357
ReadOnly,16384,9550
EvenReadsWrites,16384,27160
10pctReads,16384,28697
10pctWrites,16384,28054
WriteOnly,32768,33388
ReadOnly,32768,22575
EvenReadsWrites,32768,57306
10pctReads,32768,56269
10pctWrites,32768,55263
WriteOnly,65536,71216
ReadOnly,65536,45370
EvenReadsWrites,65536,112075
10pctReads,65536,92103
10pctWrites,65536,96988
WriteOnly,131072,125202
ReadOnly,131072,89230
EvenReadsWrites,131072,184151
10pctReads,131072,179569
10pctWrites,131072,186213
WriteOnly,262144,286452
ReadOnly,262144,157973
EvenReadsWrites,262144,364729
10pctReads,262144,377895
10pctWrites,262144,351176
WriteOnly,524288,537504
ReadOnly,524288,360026
EvenReadsWrites,524288,711590
10pctReads,524288,709914
10pctWrites,524288,741060
WriteOnly,1024,782
ReadOnly,1024,413
EvenReadsWrites,1024,1060
10pctReads,1024,977
10pctWrites,1024,972
WriteOnly,2048,1350
ReadOnly,2048,950
EvenReadsWrites,2048,2042
10pctReads,2048,2089
10pctWrites,2048,2220
WriteOnly,4096,3107
ReadOnly,4096,1748
EvenReadsWrites,4096,4405
10pctReads,4096,5172
10pctWrites,4096,6730
WriteOnly,8192,8537
ReadOnly,8192,4394
EvenReadsWrites,8192,16690
10pctReads,8192,10709
10pctWrites,8192,12604
WriteOnly,16384,14531
ReadOnly,16384,8482
EvenReadsWrites,16384,30444
10pctReads,16384,28885
10pctWrites,16384,31313
WriteOnly,32768,30800
ReadOnly,32768,20340
EvenReadsWrites,32768,60679
10pctReads,32768,57659
10pctWrites,32768,55510
WriteOnly,65536,71940
ReadOnly,65536,40172
EvenReadsWrites,65536,119486
10pctReads,65536,95569
10pctWrites,65536,101746
WriteOnly,131072,123083
ReadOnly,131072,84001
EvenReadsWrites,131072,186661
10pctReads,131072,185917
10pctWrites,131072,192249
WriteOnly,262144,281359
ReadOnly,262144,172126
EvenReadsWrites,262144,347736
10pctReads,262144,358884
10pctWrites,262144,364922
WriteOnly,524288,548450
ReadOnly,524288,347749
EvenReadsWrites,524288,723727
10pctReads,524288,696176
10pctWrites,524288,724537
WriteOnly,1024,715
ReadOnly,1024,381
EvenReadsWrites,1024,920
10pctReads,1024,1251
10pctWrites,1024,1041
WriteOnly,2048,1337
ReadOnly,2048,917
EvenReadsWrites,2048,2388
10pctReads,2048,2064
10pctWrites,2048,2237
WriteOnly,4096,2899
ReadOnly,4096,1740
EvenReadsWrites,4096,7039
10pctReads,4096,4807
10pctWrites,4096,8247
WriteOnly,8192,6837
ReadOnly,8192,3459
EvenReadsWrites,8192,13816
10pctReads,8192,12542
10pctWrites,8192,15180
WriteOnly,16384,15560
ReadOnly,16384,10654
EvenReadsWrites,16384,27701
10pctReads,16384,31643
10pctWrites,16384,30787
WriteOnly,32768,31030
ReadOnly,32768,18651
EvenReadsWrites,32768,55294
10pctReads,32768,63449
10pctWrites,32768,57760
WriteOnly,65536,67970
ReadOnly,65536,42262
EvenReadsWrites,65536,110830
10pctReads,65536,97149
10pctWrites,65536,107768
WriteOnly,131072,140034
ReadOnly,131072,82698
EvenReadsWrites,131072,192387
10pctReads,131072,189804
10pctWrites,131072,178188
WriteOnly,262144,267431
ReadOnly,262144,169574
EvenReadsWrites,262144,366296
10pctReads,262144,358452
10pctWrites,262144,355325
WriteOnly,524288,543683
ReadOnly,524288,344049
EvenReadsWrites,524288,735294
10pctReads,524288,712925
10pctWrites,524288,726083
WriteOnly,1024,616
ReadOnly,1024,534
EvenReadsWrites,1024,996
10pctReads,1024,1680
10pctWrites,1024,1300
WriteOnly,2048,1369
ReadOnly,2048,1247
EvenReadsWrites,2048,3222
10pctReads,2048,2099
10pctWrites,2048,2763
WriteOnly,4096,3792
ReadOnly,4096,1978
EvenReadsWrites,4096,4642
10pctReads,4096,8020
10pctWrites,4096,5436
WriteOnly,8192,8671
ReadOnly,8192,5057
EvenReadsWrites,8192,11312
10pctReads,8192,10554
10pctWrites,8192,15402
WriteOnly,16384,15228
ReadOnly,16384,8574
EvenReadsWrites,16384,31197
10pctReads,16384,34230
10pctWrites,16384,29474
WriteOnly,32768,30715
ReadOnly,32768,20941
EvenReadsWrites,32768,55828
10pctReads,32768,61852
10pctWrites,32768,58775
WriteOnly,65536,64578
ReadOnly,65536,46364
EvenReadsWrites,65536,111458
10pctReads,65536,98574
10pctWrites,65536,95738
WriteOnly,131072,138567
